,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
qlm jm w=0.090,0.286,0.041,0.252,0.035,0.207,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.645,0.008,0.585,0.008,0.489,0.007,0.461,0.006,0.458,0.007,0.444,0.007
qlm jm w=0.100,0.287,0.041,0.252,0.035,0.207,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.647,0.008,0.587,0.008,0.491,0.007,0.463,0.006,0.46,0.007,0.446,0.007
qlm jm w=0.110,0.287,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.647,0.008,0.588,0.008,0.492,0.007,0.465,0.006,0.462,0.007,0.447,0.007
qlm jm w=0.120,0.288,0.041,0.251,0.035,0.206,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.648,0.008,0.589,0.008,0.493,0.007,0.466,0.006,0.463,0.007,0.449,0.007
qlm jm w=0.130,0.288,0.041,0.25,0.035,0.206,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.648,0.008,0.59,0.008,0.494,0.007,0.467,0.006,0.465,0.007,0.45,0.007
qlm jm w=0.140,0.288,0.041,0.251,0.035,0.207,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.648,0.008,0.59,0.008,0.495,0.007,0.468,0.006,0.466,0.007,0.451,0.007
qlm jm w=0.150,0.288,0.041,0.251,0.035,0.207,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.648,0.008,0.591,0.008,0.496,0.007,0.469,0.006,0.467,0.007,0.452,0.007
qlm jm w=0.160,0.288,0.041,0.251,0.035,0.207,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.649,0.008,0.591,0.008,0.496,0.007,0.47,0.006,0.467,0.007,0.453,0.007
qlm jm w=0.170,0.288,0.041,0.252,0.035,0.207,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.649,0.008,0.592,0.008,0.496,0.007,0.471,0.006,0.468,0.007,0.454,0.007
qlm jm w=0.180,0.288,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.649,0.008,0.592,0.008,0.497,0.007,0.471,0.006,0.469,0.007,0.454,0.007
qlm jm w=0.190,0.29,0.041,0.253,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.649,0.008,0.593,0.008,0.497,0.007,0.472,0.006,0.469,0.007,0.455,0.007
qlm jm w=0.200,0.29,0.041,0.253,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.497,0.007,0.472,0.006,0.47,0.007,0.455,0.007
qlm jm w=0.210,0.291,0.041,0.253,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.498,0.007,0.473,0.006,0.47,0.007,0.456,0.007
qlm jm w=0.220,0.291,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.498,0.007,0.473,0.006,0.471,0.007,0.456,0.007
qlm jm w=0.230,0.291,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.498,0.007,0.473,0.006,0.471,0.007,0.456,0.007
qlm jm w=0.240,0.291,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.498,0.007,0.473,0.006,0.471,0.007,0.457,0.007
qlm jm w=0.250,0.291,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.498,0.007,0.474,0.006,0.472,0.007,0.457,0.007
qlm jm w=0.260,0.292,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.498,0.007,0.474,0.006,0.472,0.007,0.457,0.007
qlm jm w=0.270,0.292,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.498,0.007,0.474,0.006,0.472,0.007,0.457,0.007
qlm jm w=0.280,0.292,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.474,0.006,0.472,0.007,0.458,0.007
qlm jm w=0.290,0.292,0.041,0.252,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.474,0.006,0.473,0.007,0.458,0.007
qlm jm w=0.300,0.292,0.041,0.253,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.474,0.006,0.473,0.007,0.458,0.007
qlm jm w=0.310,0.291,0.041,0.253,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.473,0.007,0.458,0.007
qlm jm w=0.320,0.289,0.041,0.253,0.035,0.208,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.473,0.007,0.458,0.007
qlm jm w=0.330,0.289,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.473,0.007,0.458,0.007
qlm jm w=0.340,0.289,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.473,0.007,0.459,0.007
qlm jm w=0.350,0.289,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.360,0.289,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.370,0.289,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.380,0.289,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.390,0.289,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.06,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.400,0.289,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.410,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.420,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.430,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.440,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.450,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.460,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.470,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.480,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.490,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.500,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.510,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.520,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.593,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.530,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.65,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.540,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.550,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.560,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.570,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.580,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.590,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.600,0.288,0.041,0.253,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.610,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.009,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.620,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.630,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.640,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.650,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.660,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.670,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.680,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.690,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.700,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.710,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.720,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.730,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.648,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.740,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.750,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.760,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.770,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.780,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.592,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.790,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.800,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.810,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.820,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.830,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.840,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.850,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.860,0.288,0.041,0.252,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.475,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.870,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.880,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.890,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.900,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.910,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.920,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.930,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.940,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.950,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.960,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.474,0.007,0.459,0.007
qlm jm w=0.970,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.473,0.007,0.459,0.007
qlm jm w=0.980,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.473,0.007,0.459,0.007
qlm jm w=0.990,0.288,0.041,0.251,0.035,0.209,0.03,0.079,0.012,0.05,0.008,0.059,0.01,0.649,0.008,0.591,0.008,0.499,0.007,0.474,0.006,0.473,0.007,0.459,0.007
qlm jm w=1.000,0.287,0.041,0.246,0.035,0.201,0.031,0.055,0.01,0.038,0.007,0.045,0.008,0.624,0.009,0.558,0.008,0.459,0.007,0.425,0.007,0.409,0.007,0.411,0.007
